Ref	Count	SecCount	SupCount
ptg001308l	261		
ptg001309l	56		
ptg001310l	694		
ptg001311l	104		
ptg001312l	83		
ptg001315l	211		
ptg001316l	27		
ptg001318l	6		
ptg001319l	246		
ptg001322l	1321		
ptg001327l	30823		
ptg001328l	39		
ptg001331l	40		
ptg001332l	19313		
ptg001335l	6		
ptg001336l	51		
ptg001337l	505		
ptg001338l	5		
ptg001340l	4		
ptg001341l	55		
ptg001342l	525		
ptg001343l	4		
ptg001345l	2		
ptg001346l	75		
ptg001347l	95		
ptg001348l	4		
ptg001351c	55		
ptg001354l	2		
ptg001355l	120		
ptg001360l	4		
ptg001361l	10		
ptg001364l	24		
ptg001366l	76		
ptg001368l	2		
ptg001373l	1569		
ptg001374l	12		
ptg001375l	22		
ptg001376l	23		
ptg001378l	11		
ptg001379l	90		
ptg001380l	4		
ptg001381l	37		
ptg001383l	75		
ptg001384l	88		
ptg001386l	159		
ptg001387l	6		
ptg001390l	57		
ptg001391l	17		
ptg001393l	65		
ptg001394l	6		
ptg001395l	15		
ptg001396l	2		
ptg001398l	64		
ptg001404l	13		
ptg001405l	36		
ptg001409l	8		
ptg001414l	14512		
ptg001415l	323		
ptg001417l	5		
ptg001424l	27		
ptg001426l	51		
ptg001427l	91		
ptg001433l	29		
ptg001434l	39		
ptg001436l	27		
ptg001437l	71		
ptg001438l	108		
ptg001440l	5		
ptg001441l	21		
ptg001442l	39		
ptg001443l	6		
ptg001445l	22		
ptg001446l	1		
ptg001447l	218		
ptg001448l	2		
ptg001451l	257		
ptg001454l	6027		
ptg001455l	181		
ptg001456l	2		
ptg001457l	78		
ptg001458l	14		
ptg001460l	489		
ptg001463l	4		
ptg001467l	158		
ptg001469l	79690		
ptg001470l	6		
ptg001474l	102		
ptg001476l	2		
ptg001480l	32		
ptg001481l	107		
ptg001482l	17		
ptg001485l	57		
ptg001488l	3811		
ptg001489l	7		
ptg001491l	21		
ptg001492l	16		
ptg001493l	134		
ptg001496l	48		
ptg001497l	47		
ptg001498l	111		
ptg001501l	166		
ptg001502l	26		
ptg001504l	14		
ptg001506l	3		
ptg001509l	58		
ptg001510l	34		
ptg001511l	38		
ptg001512l	160		
ptg001518l	46		
ptg001519l	201		
ptg001520l	68		
ptg001521l	4		
ptg001524l	38		
ptg001525l	23		
ptg001526l	7		
ptg001530l	1		
ptg001534l	31013		
ptg001537l	33189		
ptg001538l	36		
ptg001539l	141		
ptg001541l	97		
ptg001543l	31		
ptg001545l	15		
ptg001546l	6		
ptg001550l	436		
ptg001551l	46		
ptg001552l	52		
ptg001553l	16		
ptg001555l	24		
ptg001556l	2		
ptg001557l	22		
ptg001558l	1		
ptg001559l	8		
ptg001560l	14		
ptg001562l	118		
ptg001564l	119		
ptg001565l	32		
ptg001566l	24		
ptg001568l	214		
ptg001572l	10		
ptg001577l	117		
ptg001578l	33873		
ptg001581l	113		
ptg001582l	36		
ptg001583l	7		
ptg001584l	5		
ptg001585l	21		
ptg001587l	1		
ptg001588l	6		
ptg001589l	10		
ptg001590l	10		
ptg001592l	2		
ptg001593l	13914		
ptg001594l	70		
ptg001598l	1		
ptg001602l	29		
ptg001603l	146		
ptg001604l	23		
ptg001605l	6		
ptg001606l	2		
ptg001607l	81		
ptg001609l	7039		
ptg001610l	32		
ptg001611l	486		
ptg001612l	61		
ptg001613l	9		
ptg001614l	8		
ptg001615l	123		
ptg001616l	17		
ptg001617l	2		
ptg001620l	73		
ptg001621l	2		
ptg001622l	2		
ptg001623l	40		
ptg001624l	2		
ptg001625l	681		
ptg001626l	139		
ptg001627l	48		
ptg001629l	1		
ptg001630l	39		
ptg001631l	57		
ptg001632l	68		
ptg001633l	91		
ptg001634l	54		
ptg001635l	2		
ptg001638l	112		
ptg001639l	38		
ptg001640l	16		
ptg001642l	61		
ptg001643l	7		
ptg001647l	123		
ptg001648l	56		
ptg001649l	40		
ptg001651l	135		
ptg001653l	389		
ptg001654l	162		
ptg001657l	6		
ptg001659l	6		
ptg001661l	167		
ptg001665l	12		
ptg001666l	12		
ptg001670l	1		
ptg001673l	4		
ptg001676l	3		
ptg001677l	27		
ptg001679l	23		
ptg001680l	35		
ptg001681l	1		
ptg001683l	107		
ptg001685l	2		
ptg001687l	46		
ptg001689l	6		
ptg001690l	38		
ptg001691l	38		
ptg001692l	147		
ptg001693l	2		
ptg001694l	68		
ptg001696l	7		
ptg001697l	210		
ptg001699l	40		
ptg001701l	20		
ptg001703l	50		
ptg001705l	2		
ptg001709l	2		
ptg001711l	52		
ptg001715l	2		
ptg001716l	38		
ptg001717l	59		
ptg001719l	8		
ptg001720l	74		
ptg001721c	80		
ptg001722l	16		
ptg001723l	9		
ptg001724l	21		
ptg001725l	82		
ptg001728l	139		
ptg001729l	22		
ptg001730l	31		
ptg001733l	223		
ptg001734l	15		
ptg001736l	2		
ptg001737l	8		
ptg001738l	45		
ptg001742l	33		
ptg001743l	36		
ptg001744l	43		
ptg001745l	38		
ptg001749l	20		
ptg001750l	6		
ptg001756l	26		
ptg001757l	1		
ptg001759l	38		
ptg001760l	3		
ptg001761l	56		
ptg001765l	65		
ptg001768l	18		
ptg001769l	33		
ptg001770l	12		
ptg001772l	2		
ptg001773l	34		
ptg001776l	18		
ptg001777l	4		
ptg001779l	48		
ptg001780l	9		
ptg001781l	2		
ptg001783l	64		
ptg001785l	37		
ptg001786l	3		
ptg001787l	185		
ptg001788l	651		
ptg001790l	40		
ptg001792l	348		
ptg001793l	117		
ptg001794l	26		
ptg001795l	120319		
ptg001798l	44		
ptg001800l	6		
ptg001802l	174		
ptg001803l	29		
ptg001804l	4633		
ptg001805l	60		
ptg001807l	55		
ptg001808l	26022		
ptg001812l	31		
ptg001813l	2		
ptg001815l	54		
ptg001816l	19725		
ptg001821l	2		
ptg001822l	2		
ptg001824l	8		
ptg001826l	27		
ptg001827l	9		
ptg001828l	2		
ptg001838l	41		
ptg001839l	40		
ptg001840l	10		
ptg001841l	34		
ptg001842l	45		
ptg001847l	13		
ptg001849l	448		
ptg001850l	34110		
ptg001851l	32		
ptg001854l	2		
ptg001857l	50		
ptg001858l	43		
ptg001861l	27		
ptg001864l	32788		
ptg001868l	63		
ptg001869l	5954		
ptg001870l	46		
ptg001871l	41594		
ptg001872l	66		
ptg001873l	110		
ptg001875l	247		
ptg001876l	15		
ptg001878l	172		
ptg001880l	96		
ptg001882l	130		
ptg001883l	158		
