Ref	Count	SecCount	SupCount
ptg001284l	66		
ptg001289l	101		
ptg001290l	40		
ptg001291l	9		
ptg001303l	16		
ptg001304l	182		
ptg001306c	1374		
ptg001307l	12		
ptg001308l	1009		
ptg001310l	435		
ptg001311l	40		
ptg001312l	47		
ptg001313l	6		
ptg001314l	16		
ptg001315l	34		
ptg001316l	503		
ptg001318l	3		
ptg001319l	167		
ptg001322l	1272		
ptg001327l	29371		
ptg001329l	10		
ptg001331l	141		
ptg001332l	22537		
ptg001333l	6		
ptg001335l	15		
ptg001336l	13		
ptg001337l	36		
ptg001338l	6		
ptg001339l	4		
ptg001340l	681		
ptg001342l	194		
ptg001343l	6		
ptg001345l	11		
ptg001346l	34		
ptg001347l	6		
ptg001348l	32		
ptg001350l	6		
ptg001351c	72		
ptg001352l	5		
ptg001353l	5		
ptg001354l	102		
ptg001355l	4		
ptg001357l	1		
ptg001358l	7		
ptg001360l	8		
ptg001361l	24		
ptg001362l	4		
ptg001363l	21		
ptg001364l	142		
ptg001366l	1		
ptg001367l	2		
ptg001369l	5		
ptg001370l	6		
ptg001372l	20		
ptg001373l	2993		
ptg001374l	161		
ptg001376l	225		
ptg001377l	9		
ptg001378l	64		
ptg001379l	30		
ptg001380l	3		
ptg001381l	116		
ptg001383l	148		
ptg001384l	60		
ptg001386l	93		
ptg001387l	21		
ptg001388l	17		
ptg001390l	1417		
ptg001391l	142		
ptg001394l	74		
ptg001395l	22		
ptg001396l	71		
ptg001401l	6		
ptg001402c	1		
ptg001404l	2		
ptg001405l	280		
ptg001406l	5		
ptg001409l	293		
ptg001410l	15		
ptg001411l	26		
ptg001414l	25920		
ptg001415l	211		
ptg001417l	4		
ptg001420l	7		
ptg001422l	10		
ptg001424l	11		
ptg001427l	272		
ptg001430l	12		
ptg001431l	3		
ptg001436l	1		
ptg001437l	130		
ptg001438l	14		
ptg001440l	8		
ptg001441l	31		
ptg001442l	9		
ptg001443l	3		
ptg001444l	2		
ptg001447l	129		
ptg001451l	301		
ptg001453l	53		
ptg001454l	2971		
ptg001455l	1820		
ptg001456l	1		
ptg001458l	26		
ptg001460l	41		
ptg001461l	2		
ptg001463l	2		
ptg001464l	2		
ptg001467l	62		
ptg001469l	150357		
ptg001470l	167		
ptg001472l	36		
ptg001474l	44		
ptg001476l	54		
ptg001477l	4		
ptg001479l	21		
ptg001480l	9		
ptg001482l	1		
ptg001483l	6		
ptg001485l	100		
ptg001486l	8		
ptg001488l	5100		
ptg001489l	52		
ptg001493l	106		
ptg001496l	1		
ptg001498l	51		
ptg001501l	37		
ptg001504l	23		
ptg001505l	3		
ptg001506l	5		
ptg001507l	13		
ptg001509l	162		
ptg001510l	3		
ptg001511l	183		
ptg001512l	44		
ptg001513l	97		
ptg001514l	4		
ptg001515l	14		
ptg001516l	2		
ptg001517l	3		
ptg001519l	313		
ptg001520l	23		
ptg001521l	110		
ptg001523l	13		
ptg001524l	1		
ptg001525l	98		
ptg001526l	17		
ptg001530l	5		
ptg001533l	10		
ptg001534l	22288		
ptg001536l	5		
ptg001537l	24002		
ptg001538l	1		
ptg001539l	10		
ptg001542l	1		
ptg001543l	73		
ptg001545l	73		
ptg001546l	26		
ptg001547l	1		
ptg001549l	6		
ptg001550l	66		
ptg001551l	79		
ptg001552l	3		
ptg001555l	9		
ptg001556l	1		
ptg001558l	12		
ptg001559l	16		
ptg001561l	4		
ptg001562l	52		
ptg001568l	923		
ptg001569l	1		
ptg001572l	82		
ptg001577l	50		
ptg001578l	24299		
ptg001580l	11		
ptg001581l	44		
ptg001583l	2		
ptg001584l	123		
ptg001585l	2049		
ptg001587l	6		
ptg001588l	20		
ptg001589l	93		
ptg001590l	40		
ptg001591l	5		
ptg001592l	3		
ptg001593l	32710		
ptg001597l	65		
ptg001598l	7		
ptg001599l	3		
ptg001601l	3		
ptg001602l	73		
ptg001603l	2132		
ptg001605l	16		
ptg001606l	5		
ptg001607l	1		
ptg001608l	22		
ptg001609l	2940		
ptg001610l	2		
ptg001611l	76		
ptg001613l	25		
ptg001614l	84		
ptg001615l	38		
ptg001617l	98		
ptg001618l	15		
ptg001619l	8		
ptg001621l	63		
ptg001622l	134		
ptg001624l	30		
ptg001625l	242		
ptg001626l	69		
ptg001629l	3		
ptg001630l	6		
ptg001632l	3		
ptg001633l	31		
ptg001636l	5		
ptg001639l	229		
ptg001640l	40		
ptg001641l	142		
ptg001642l	68		
ptg001643l	7		
ptg001644l	2		
ptg001645l	2		
ptg001647l	40		
ptg001650l	29		
ptg001651l	53		
ptg001653l	38		
ptg001654l	45		
ptg001655l	3		
ptg001656l	144		
ptg001658l	37		
ptg001659l	2		
ptg001660l	170		
ptg001661l	32		
ptg001664l	3		
ptg001665l	63		
ptg001666l	4		
ptg001667l	3		
ptg001670l	48		
ptg001671l	15		
ptg001673l	4		
ptg001674l	4		
ptg001675l	6		
ptg001676l	1		
ptg001677l	26		
ptg001679l	7		
ptg001681l	21		
ptg001682l	5		
ptg001684l	2		
ptg001688l	9		
ptg001689l	19		
ptg001690l	8		
