iteration,chain,λ,pzero,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
414,1,2.475800931601486,0.7564975488704192,-43376.105019634626,3.0,1.0,0.9681897603337589,-43376.105019634626,43376.1732303041,0.014943680478609167,0.048560751987679396,2.0,0.0,0.9041334935925025,0.9041334935925025
415,1,2.4646155991914864,0.7576831528081559,-43376.141866167796,3.0,1.0,0.8952155637798355,-43376.141866167796,43376.312725198426,0.030483231523248833,0.1596233457676135,2.0,0.0,0.9041334935925025,0.9041334935925025
416,1,2.447765563410465,0.757054247143416,-43376.9146289562,1.0,1.0,0.6673616071052278,-43376.9146289562,43377.01739259805,0.40442324038303923,0.40442324038303923,1.0,0.0,0.9041334935925025,0.9041334935925025
417,1,2.467065724188928,0.7561793137202946,-43376.16531928456,7.0,1.0,0.8889820149587645,-43376.16531928456,43377.63745839308,-0.4200427729447256,-0.4200427729447256,2.0,0.0,0.9041334935925025,0.9041334935925025
418,1,2.4810224927521194,0.7573152446087983,-43376.11151804253,3.0,1.0,0.9863298281720149,-43376.11151804253,43376.23266862631,0.0008991717841126956,0.029722463485086337,2.0,0.0,0.9041334935925025,0.9041334935925025
419,1,2.4810224927521194,0.7573152446087983,-43376.11151804253,1.0,1.0,0.0019283579253061075,-43376.11151804253,43382.036005713264,0.0,6.2510864541181945,1.0,0.0,0.9041334935925025,0.9041334935925025
420,1,2.4841091704887903,0.757155111567679,-43376.2057707059,1.0,1.0,0.947777760884543,-43376.2057707059,43376.261844386914,0.05363523365667788,0.05363523365667788,1.0,0.0,0.9041334935925025,0.9041334935925025
421,1,2.4494420484826396,0.7561602630866298,-43376.8324422975,3.0,1.0,0.5586360896341631,-43376.8324422975,43377.48279261613,0.27991086307156365,0.8544116241973825,2.0,0.0,0.9041334935925025,0.9041334935925025
422,1,2.4713213060766708,0.7616984452946227,-43377.734539083394,3.0,1.0,0.8100169135836516,-43377.734539083394,43378.22457787937,0.2877547555035562,0.3855077118205372,2.0,0.0,0.9041334935925025,0.9041334935925025
423,1,2.443875344516889,0.7615194357754292,-43379.27104947011,1.0,1.0,0.3620815766482433,-43379.27104947011,43380.15614093868,1.0158857426868053,1.0158857426868053,1.0,0.0,0.9041334935925025,0.9041334935925025
424,1,2.4985563755701268,0.7561388133030418,-43377.19263645165,3.0,1.0,0.5778320219809217,-43377.19263645165,43380.033822506644,-1.0699426882347325,1.3394676329407957,2.0,0.0,0.9041334935925025,0.9041334935925025
425,1,2.4985563755701268,0.7561388133030418,-43377.19263645165,3.0,1.0,0.5063241834179206,-43377.19263645165,43379.83163960384,0.0,1.5884513018172584,1.0,0.0,0.9041334935925025,0.9041334935925025
426,1,2.4789221436782385,0.7573101710910575,-43376.07004193556,1.0,1.0,1.0,-43376.07004193556,43376.618266687976,-0.6358535531398957,-0.6358535531398957,1.0,0.0,0.9041334935925025,0.9041334935925025
427,1,2.4648681246489086,0.7569980362111707,-43376.11524044557,5.0,1.0,0.9948758166243881,-43376.11524044557,43376.13285687303,0.01824830038822256,-0.024050802385318093,2.0,0.0,0.9041334935925025,0.9041334935925025
428,1,2.4648681246489086,0.7569980362111707,-43376.11524044557,1.0,1.0,0.05005995645955883,-43376.11524044557,43378.46485668357,0.0,2.9945338627439924,1.0,0.0,0.9041334935925025,0.9041334935925025
